amount,parcelNumber,url,Owner ,Address,Total Acreage,Above Grade sqft.,,Tax District,2021 Land Value,2021 Building Value,2021 Market Value,% Exempt,Exempt Type
1795.47,27032010820000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=27032010880000&nbhd=830&PA=, 2 CAN LLC ,8631 S REDWOOD RD,0.64,,911 - RES LOT,37,"$         144,700",$              0,"$         144,700",NA,NA
1832.21,27032010880000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08364520280000&nbhd=7550&PA=, 200 NORTH LLC ,213 W 200 N,0.01,,913 - VAC-MH-ASSC,13,"$          34,500",$              0,"$          34,500",NA,NA
244.32,08364520280000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=16081300220000&nbhd=83&PA=, 2011 JUDITH A LICHTENSTEIN TR  ET AL ,867 E 800 S,0.10,1553,111 - SNGL FAM RES,13,"$         100,800","$         309,800","$         410,600",NA,NA
5.10,16081300220000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=14324310100000&nbhd=6715&PA=," 215 DEVELOPMENT, LLC ",3904 S 8000 W,4.33,,902 - VACANT-INDUS,ABY,"$         648,200","$          29,700","$         677,900",NA,NA
15482.17,14324310100000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020070000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.63,,594 - STORAGE-WHSE,01N,"$         850,700","$           2,500","$         853,200",NA,NA
10716.68,15013020070000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020080000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.48,,550 - IND-LIGHT-MFG,01N,"$         648,200","$         491,800","$        1,140,000",NA,NA
12647.70,15013020080000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020090000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.16,,912 - VAC-I-C-ASSC,01N,"$         209,700",$              0,"$         209,700",NA,NA
2634.39,15013020090000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020100000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.18,,912 - VAC-I-C-ASSC,01N,"$         240,400",$              0,"$         240,400",NA,NA
3019.82,15013020100000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013020130000&nbhd=7660&PA=," 216 DEVELOPMENT, LLC ",570 W 400 S,0.16,,902 - VACANT-INDUS,01N,"$         216,100",$              0,"$         216,100",NA,NA
2713.57,15013020130000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030010000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,571 W 400 S,0.31,,902 - VACANT-INDUS,13,"$         182,200",$              0,"$         182,200",NA,NA
2316.45,15013030010000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030020000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,567 W 400 S,0.13,,902 - VACANT-INDUS,13,"$          91,400",$              0,"$          91,400",NA,NA
1162.77,15013030020000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030030000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,561 W 400 S,0.19,,902 - VACANT-INDUS,13,"$         255,800",$              0,"$         255,800",NA,NA
3211.88,15013030030000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030040000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,559 W 400 S,0.19,,902 - VACANT-INDUS,13,"$         124,100",$              0,"$         124,100",NA,NA
1578.04,15013030040000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15013030050000&nbhd=7591&PA=, 217 DEVELOPMENT LLC ,551 W 400 S,0.12,,902 - VACANT-INDUS,13,"$         113,400",$              0,"$         113,400",NA,NA
1424.90,15013030050000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=27141820010000&nbhd=6200&PA=," 218 REALTY, LLC ",1098 SOUTHJRDN PKWY # 111,0.01,,675 - CND RETAIL,38E,"$          93,800","$         218,700","$         312,500",NA,NA
8065.70,27141820010000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21044790170000&nbhd=808&PA=, 2236 WEST BALHAM ROAD TAYLORSVILLE A SER ,2236 W BALHAM RD,0.23,944,106 - RESID-MOTHER-INLAW,61,"$         100,000","$         206,600","$         306,600",NA,NA
4477.78,21044790170000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=21044790170000&nbhd=808&PA=, 2236 WEST BALHAM ROAD TAYLORSVILLE A SER ,2236 W BALHAM RD,0.23,944,106 - RESID-MOTHER-INLAW,61,"$         100,000","$         206,600","$         306,600",NA,NA
351.88,21044790170000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22213800070000&nbhd=950&PA=, 23 VIEWS LLC ,,0.24,1328,111 - SNGL FAM RES,AAH,"$         105,800","$         202,700","$         308,500",NA,NA
2210.32,22213800070000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22213800080000&nbhd=950&PA=, 23 VIEWS LLC ,,0.21,,911 - RES LOT,AAH,"$         104,200",$              0,"$         104,200",NA,NA
1297.78,22213800080000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22213800090000&nbhd=950&PA=, 23 VIEWS LLC ,,0.44,1656,111 - SNGL FAM RES,AAH,"$         121,100","$         252,900","$         374,000",NA,NA
2750.42,22213800090000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22213800090000&nbhd=950&PA=, 23 VIEWS LLC ,,0.44,1656,111 - SNGL FAM RES,AAH,"$         121,100","$         252,900","$         374,000",NA,NA
237.81,22213800090000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=22213800140000&nbhd=950&PA=, 23 VIEWS LLC ,,0.24,1042,111 - SNGL FAM RES,AAH,"$          99,900","$         123,600","$         223,500",NA,NA
1648.03,22213800140000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08364350150000&nbhd=150&PA=," 237/239, LLC ",237-239 N CENTER ST,0.10,2322,112 - DUPLEX,13,"$         200,000","$         366,100","$         566,100",NA,NA
3259.00,08364350150000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15214520110000&nbhd=6800&PA=," 2601 CONSTITUTION, LLC ",2601 S CONSTITUTION BLVD,1.53,,550 - IND-LIGHT-MFG,24,"$         362,900","$        1,075,100","$        1,438,000",NA,NA
48578.11,15214520110000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15214520110000&nbhd=6800&PA=," 2601 CONSTITUTION, LLC ",2601 S CONSTITUTION BLVD,1.53,,550 - IND-LIGHT-MFG,24,"$         362,900","$        1,075,100","$        1,438,000",NA,NA
769.36,15214520110000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15281060250000&nbhd=744&PA=," 2872 SOUTH 3000 WEST, LLC ",2872 S 3000 W,0.15,994,111 - SNGL FAM RES,24,"$          67,000","$         132,800","$         199,800",NA,NA
1489.68,15281060250000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08363050130000&nbhd=7600&PA=, 290 NORTH 600 WEST LLC ,567 W 300 N,0.09,,905 - COMM-VACANT,13,"$         144,400","$           2,200","$         146,600",NA,NA
1687.05,08363050130000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=08363050140000&nbhd=7600&PA=, 290 NORTH 600 WEST LLC ,559 W 300 N,0.08,,905 - COMM-VACANT,13,"$         140,000","$           2,200","$         142,200",NA,NA
1637.75,08363050140000000,https://slco.org/assessor/new/valuationInfoExpanded.cfm?parcel_id=15132530050000&nbhd=7612&PA=, 301 PROPERTIES LLC ,301 W 1600 S,0.16,,537 - SERVICE-GAR,01V,"$         131,900","$         356,600","$         488,500",NA,NA
